idVenta|metodoPago|canal
1001|4|1
1002|3|1
1003|1|4
1004|4|1
1005|2|2
1006|4|1
1007|3|4
1008|4|1
1009|1|3
1010|2|2
1011|3|1
1012|1|4
1013|2|2
1014|4|1
1015|2|3
1016|4|2
1017|3|1
1018|2|4
1019|1|1
1020|4|1
1021|2|2
1022|1|3
1023|2|4
1024|4|1
1025|3|1
1026|2|2
1027|4|1
1028|3|3
1029|1|2
1030|4|1
1031|1|4
1032|3|1
1033|4|2
1034|2|3
1035|4|1
1036|1|4
1037|2|2
1038|4|1
1039|3|3
1040|2|4
1041|4|1
1042|2|2
1043|1|3
1044|4|1
1045|1|2
1046|3|4
1047|4|1
1048|2|2
1049|4|1
1050|1|3
1051|2|4
1052|4|1
1053|1|2
1054|3|1
1055|4|4
1056|2|2
1057|1|3
1058|4|1
1059|3|1
1060|4|2
